customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,monthly_revenue,annual_revenue,lifetime_value,usage_trend_3m,support_ticket_count,inactivity_score,revenue_risk_score,high_value_customer
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,105.5,1266.0,2637.5,-0.609089335827884,1,0.34357568905704694,36.24723519551845,1
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,113.25,1359.0,7814.25,-0.8576201787087617,1,0.22564277099551744,25.55404381524235,1
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,20.65,247.79999999999998,1073.8,0.08749906736998886,2,0.9485947982546638,19.588482583958804,0
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,106.7,1280.4,7575.7,0.5856806256635915,1,0.05727817407019131,6.111581173289413,1
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,55.2,662.4000000000001,552.0,-0.25025441808594995,2,0.30303116295460897,16.727320195094414,0
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,90.05,1080.6,1891.05,0.9672017013043225,1,0.1041084241528023,9.374963594959848,1
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,39.65,475.79999999999995,39.65,-0.30914628955509404,0,0.48830283514036354,19.361207413315412,0
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,19.8,237.60000000000002,237.60000000000002,1.2099447733671913,3,0.8149331309388838,16.1356759925899,0
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,20.15,241.79999999999998,20.15,0.8374144788508148,1,0.05690155554233434,1.1465663441780367,0
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,59.9,718.8,3474.2,0.9019089780574174,2,0.7631673891663222,45.7137266110627,1
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,59.6,715.2,2920.4,0.9672532130633192,0,0.8248598429461568,49.16164663959095,1
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,55.3,663.5999999999999,1659.0,0.15669974672727677,2,0.4090326376295331,22.61950486091318,1
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,99.35,1192.1999999999998,4669.45,0.5516833711657461,0,0.01175975199624646,1.1683313608270856,1
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,30.2,362.4,30.2,0.5482920901334494,5,0.5282841104992687,15.954180137077914,0
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,90.25,1083.0,6498.0,-0.3686650479193378,4,0.813795771050551,73.44506833731222,1
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,64.7,776.4000000000001,1099.9,-0.19405156718419364,2,0.8720087775847504,56.418967909733354,0
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,96.35,1156.1999999999998,6840.849999999999,-0.6982704914420437,1,0.9592511239888838,92.42384579632895,1
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,95.5,1146.0,191.0,1.2933125078446188,1,0.406779630653182,38.84745472737888,0
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,66.15,793.8000000000001,1786.0500000000002,-1.0025788947683056,0,0.5264191676692594,34.822627941321514,1
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,20.2,242.39999999999998,20.2,0.08996947322374375,1,0.5890151566008521,11.898106163337212,0
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,45.25,543.0,45.25,-1.0769005469495236,2,0.47962968804901873,21.703243384218098,0
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,99.9,1198.8000000000002,7192.8,-0.09703039328616396,3,0.27620455878607264,27.59283542272866,1
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,69.7,836.4000000000001,348.5,-0.4556141608581984,4,0.8924689210194338,62.205083795054534,0
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,74.8,897.5999999999999,3440.7999999999997,1.2416501111659382,1,0.07124256632190062,5.328943960878166,1
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,106.35,1276.1999999999998,3615.8999999999996,0.2025658556641064,2,0.2636379106005017,28.037891792363354,1
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,97.85,1174.1999999999998,1076.35,0.09639977160883965,1,0.9342466128186769,91.41603106430753,0
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,49.55,594.5999999999999,495.5,-0.1438172712946009,1,0.6952874199815609,34.45149166008634,0
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,69.2,830.4000000000001,4844.0,-0.09383189756042683,4,0.39951571029825117,27.646487152638983,1
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,20.75,249.0,352.75,-0.6243991974048276,2,0.6297919595264955,13.068183160174781,0
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,79.85,958.1999999999999,5030.549999999999,-0.276414115860226,1,0.7279469294880428,58.12656231962022,1
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,76.2,914.4000000000001,990.6,1.498579260299783,0,0.7953621099806722,60.60659278052723,0
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,84.5,1014.0,4140.5,-0.28101388556221807,3,0.7889589763125244,66.66703349840832,1
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,49.25,591.0,98.5,-0.5273377760515753,3,0.1858360543072507,9.152425674632097,0
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,80.65,967.8000000000001,161.3,0.5224515051982862,1,0.7299521879701806,58.87064395979507,0
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,79.75,957.0,4147.0,-1.4378693795008834,0,0.07750532846735192,6.181049945271315,1
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,64.15,769.8000000000001,4426.35,-0.7991734370318664,0,0.2211167256649399,14.184637951405895,1
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,90.25,1083.0,3880.75,-1.3541797492706868,0,0.6102953403596146,55.07915446745522,1
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,99.1,1189.1999999999998,1486.5,0.9967638416786996,0,0.17488851937277072,17.331452269841577,1
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,69.5,834.0,1737.5,0.35172666721866863,2,0.8594300204056915,59.73038641819556,1
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,80.65,967.8000000000001,645.2,-0.5551658316459336,2,0.6375236686873575,51.41628387963539,0
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,74.85,898.1999999999999,4491.0,0.6465213914510703,2,0.06538842164481462,4.894323360114374,1
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,95.45,1145.4,1718.1000000000001,-0.4681124782556361,1,0.798095387928681,76.1782047777926,1
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,99.65,1195.8000000000002,6277.950000000001,0.3072546706419862,1,0.4144568464942612,41.30062475315313,1
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,108.45,1301.4,7157.7,-0.923675384370615,2,0.991986039512562,107.58088598513736,1
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,24.95,299.4,848.3,-0.6978299892780649,0,0.7069125158698033,17.637467270951593,0
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,107.5,1290.0,7740.0,-1.2553198545837427,2,0.531287998542123,57.11345984327823,1
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,100.5,1206.0,4723.5,-0.11423950536996487,1,0.9032986217973111,90.78151149062977,1
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,89.9,1078.8000000000002,5394.0,-1.1602460675439616,2,0.36063316270751367,32.42092132740548,1
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,42.1,505.20000000000005,3031.2000000000003,1.085739948651579,3,0.8847330208197969,37.24726017651345,1
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,54.4,652.8,979.1999999999999,-2.836151702257974,1,0.3067457281325886,16.686967610412818,0
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,94.4,1132.8000000000002,849.6,-0.15079752022318402,0,0.14580539808006876,13.764029578758493,0
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,75.3,903.5999999999999,225.89999999999998,0.4168234893433603,1,0.47238867074510216,35.57086690710619,0
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,78.9,946.8000000000001,3708.3,-0.08665275008504052,2,0.510878356103919,40.30830229659921,1
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,79.2,950.4000000000001,2455.2000000000003,-1.1304087070263846,4,0.8717908545719656,69.04583568209968,1
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,20.15,241.79999999999998,1007.4999999999999,0.3474828880830964,1,0.7021158804904164,14.147634991881889,0
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,79.85,958.1999999999999,798.5,-0.018695618569829497,2,0.6181869905005656,49.36223119147016,0
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,49.05,588.5999999999999,49.05,-0.8227881027117548,1,0.4644164236606825,22.779625580556473,0
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,20.4,244.79999999999998,1060.8,0.48861347301872143,1,0.05902506182717138,1.204111261274296,0
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,111.6,1339.1999999999998,7142.4,1.5430291271976875,1,0.7773474121743147,86.75197119865352,1
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,24.25,291.0,1503.5,0.5326653667742705,1,0.29137652080804854,7.065880629595177,1
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,64.5,774.0,193.5,0.3496659641839262,1,0.13278724419083354,8.564777250308763,0
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,110.5,1326.0,6188.0,-0.9314926988391314,2,0.5259516751168332,58.11766010041006,1
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,55.65,667.8,2559.9,1.0347082715939726,0,0.5594156098418056,31.131478687696482,1
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,54.65,655.8,437.2,0.8529095514619573,1,0.1703454473260716,9.309378696369812,0
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,74.75,897.0,2242.5,-0.10329985089651698,0,0.07849333643679601,5.867376898650502,1
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,25.9,310.79999999999995,1165.5,-0.8658944735540288,0,0.3303352174059411,8.555682130813873,0
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,79.35,952.1999999999999,79.35,0.3040716777591752,2,0.5938706065547723,47.12363263012118,0
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,50.55,606.5999999999999,556.05,-0.07604896599351217,2,0.5622280663633988,28.42062875466981,0
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,75.15,901.8000000000001,526.0500000000001,-0.5491830145115507,0,0.6645653220452432,49.942083951700035,0
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,103.8,1245.6,4359.599999999999,0.6941757473468735,2,0.8560733341725832,88.86041208711414,1
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,20.15,241.79999999999998,987.3499999999999,0.7489122582073441,2,0.929252848708747,18.724444901481252,0
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,99.3,1191.6,893.6999999999999,0.2700676415654734,1,0.6646238481391085,65.99714812021347,0
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,62.15,745.8,2175.25,1.1632317041752958,2,0.31701741251561977,19.70263218784577,1
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,No,20.65,247.79999999999998,991.1999999999999,-0.2360427149489162,0,0.4112518951558902,8.492351634969133,0
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,19.95,239.39999999999998,917.6999999999999,-1.3783933718355579,1,0.9577595137741692,19.107302299794675,0
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,33.75,405.0,978.75,-0.4887094698145503,2,0.7844860116112309,26.476402891879044,0
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,82.05,984.5999999999999,2461.5,-0.981533312929424,1,0.6360965922903934,52.19172539742678,1
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,74.7,896.4000000000001,74.7,-0.6063515389122731,0,0.9817399791285487,73.3359764409026,0
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,84.0,1008.0,5544.0,-0.4820590980567821,1,0.4200707861350891,35.285946035347486,1
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,111.05,1332.6,7218.25,0.49789563280785487,1,0.019308797866829264,2.1442420031113896,1
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,100.9,1210.8000000000002,7264.8,-0.5430880315055061,0,0.26520842904229225,26.75953049036729,1
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,78.95,947.4000000000001,947.4000000000001,0.288360464984408,1,0.9462434131130931,74.7059174652787,0
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,66.85,802.1999999999999,4746.349999999999,-0.24144042255558107,1,0.10582536832905776,7.0744258727975105,1
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,21.05,252.60000000000002,105.25,0.4297057122882755,0,0.38458058701634246,8.09542135669401,0
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,21.0,252.0,1092.0,-0.08613697469443309,3,0.9984178126868789,20.966774066424456,0
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,98.5,1182.0,2462.5,0.006141286506492749,2,0.5628489556153696,55.44062212811391,1
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,20.2,242.39999999999998,20.2,0.43453116136561587,2,0.8238614155178697,16.642000593460967,0
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,19.45,233.39999999999998,19.45,-1.4290601258602285,1,0.3763069528859394,7.319170233631521,0
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,95.0,1140.0,3610.0,-1.245977671658138,2,0.8797290021587105,83.5742552050775,1
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,45.55,546.5999999999999,3006.2999999999997,1.2347963033662332,2,0.12437253586058761,5.665169008449765,1
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,110.0,1320.0,7480.0,1.0377584082601201,0,0.6304631700389782,69.3509487042876,1
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,24.3,291.6,121.5,2.775387764650148,2,0.6042937775919323,14.684338795483955,0
